,Amount,MerchantName,MCC,Location,Device,TransactionSpeed,Fraud,Weekday,Hour,Month,is_large_amount,is_slow_transaction
0,83.54,Oconnor-Hughes,5411,Longtown,Android,38.17,0,6,6,3,0,0
1,805.88,Reed PLC,5261,Woodsland,POS,49.84,0,4,5,2,0,0
2,450.49,Berry LLC,5261,Jessicatown,iOS,48.79,0,4,15,5,0,0
3,782.39,Berg Inc,5968,North Krystalburgh,Android,8.71,0,4,9,5,0,0
4,713.02,King-Gaines,5968,East Danielletown,Android,17.16,0,3,17,4,0,0
5,305.35,Fisher Ltd,5411,South Jennifer,POS,55.36,0,5,1,3,0,0
6,256.63,Levy Group,5968,West Andrew,Web,51.43,0,6,8,2,0,0
7,312.03,"Clements, Matthews and Stokes",5968,Weavermouth,Web,57.95,0,4,2,10,0,0
8,1381.9,Barrett-Hunter,5968,Houstonchester,Android,119.08,1,5,6,10,0,1
9,885.49,Camacho-Franklin,5812,Lake Coreyton,POS,1.83,0,2,1,10,0,0
10,897.68,Sanders LLC,5261,Port Meganborough,Android,28.78,0,5,1,2,0,0
11,910.15,"Riddle, Shelton and Wells",5968,Underwoodmouth,Web,54.11,0,3,4,1,0,0
12,853.05,Rodriguez-Wilkerson,5261,Thomaston,Android,5.94,0,6,12,4,0,0
13,662.66,Palmer Inc,5261,Ramosbury,Web,28.29,0,2,15,4,0,0
14,34.87,"Bell, Vazquez and Green",5968,West Debra,POS,20.5,0,6,11,6,0,0
15,170.8,Williams Group,5942,Williamsbury,Android,53.28,0,6,17,3,0,0
16,884.47,Williams Group,5968,Her`dezbury,POS,53.76,0,1,14,9,0,0
17,619.54,Hamilton-Smith,7299,West Richard,Web,28.4,0,4,14,6,0,0
18,52.12,Smith-Smith,5942,Randallbury,iOS,32.26,0,0,15,3,0,0
19,321.98,Williams and Sons,5942,Campbellfort,iOS,7.7,0,2,22,10,0,0
20,881.14,Molina-Booker,5411,Johnshire,Web,12.17,0,4,17,11,0,0
21,327.93,Phillips PLC,5968,Davidmouth,POS,11.57,0,0,22,3,0,0
22,995.66,"Colon, Martin and Dickerson",5968,Ronaldtown,Android,47.16,0,5,10,4,0,0
23,965.42,"Campbell, King and Hodges",5261,Johnport,POS,57.39,0,1,17,11,0,0
24,751.94,Neal Group,5261,Reillytown,Web,15.88,0,0,4,1,0,0
25,431.81,Doyle PLC,5812,Deleonchester,Android,11.98,0,5,3,1,0,0
26,580.73,Weeks-Robinson,5411,Wagnertown,Android,12.55,0,3,8,5,0,0
27,370.4,Bailey-Villanueva,5411,West Karen,POS,22.72,0,2,17,6,0,0
28,328.32,"Koch, Casey and Best",5812,Brownburgh,POS,20.16,0,4,1,10,0,0
29,211.44,"Whitaker, Norris and Nelson",5261,South Chelseychester,POS,36.28,0,5,1,3,0,0
30,128.67,Wells-Brown,5812,West Luis,POS,6.01,0,4,1,7,0,0
31,752.8,Townsend-Payne,5411,North Rachel,Web,10.2,0,5,8,11,0,0
32,397.09,Campbell-Gray,5261,Port Ann,POS,3.72,0,2,11,4,0,0
33,792.22,Miller Ltd,5411,Lake Jameschester,POS,20.53,0,4,1,9,0,0
34,135.55,Davis Group,5411,East Jeffhaven,iOS,11.54,0,3,13,9,0,0
35,374.9,"Hood, Vaughn and Randolph",5812,Lake Mitchellchester,Android,48.67,0,1,2,6,0,0
36,831.3,Young Ltd,5261,Williamsside,POS,57.38,0,4,4,6,0,0
37,510.68,Swanson PLC,5411,Abigailstad,Web,39.12,0,2,1,2,0,0
38,788.39,Salas PLC,5261,Rossport,iOS,20.35,0,6,0,1,0,0
39,120.22,Houston Group,5261,Wrightbury,POS,9.17,0,4,3,4,0,0
40,941.75,Martinez-Powell,7299,East Joshuaview,Android,22.48,0,1,11,10,0,0
41,401.87,Brown PLC,5968,Sanchezshire,Android,58.15,0,1,10,2,0,0
42,504.12,"Newman, Juarez and Anderson",5411,Danielmouth,iOS,33.77,0,1,4,9,0,0
43,414.48,"Johnson, Ramsey and Riggs",5968,Port Jasonmouth,Web,57.07,0,1,12,8,0,0
44,714.0,Johnson-Harris,5261,Elizabethville,Android,30.06,0,0,13,9,0,0
45,295.61,"Torres, Burns and Pratt",7299,Lake Angela,POS,28.53,0,1,21,5,0,0
46,730.12,Oneal LLC,5411,Dariusside,POS,50.28,0,3,15,12,0,0
47,129.24,Hunt-Mcclain,5411,Murphyview,Android,3.22,0,4,15,9,0,0
48,654.95,Young Ltd,5812,Stephensview,POS,6.57,0,2,5,11,0,0
49,981.72,"Goodwin, Sheppard and Hill",5968,Lake Davidmouth,iOS,3.62,0,2,10,5,0,0
50,411.19,King-Wilson,5812,Port Dylan,iOS,38.63,0,2,4,5,0,0
51,103.62,Reeves-Hernandez,5942,Brookeborough,Android,49.97,0,4,5,4,0,0
52,21.3,"Foster, Hernandez and Fowler",5968,New Cheryl,POS,23.84,0,6,20,12,0,0
53,84.2,"Richardson, Hutchinson and Cummings",5942,Wilsonshire,Web,59.29,0,2,19,7,0,0
54,614.21,Coleman-Davis,7299,Kempport,POS,24.72,0,6,13,12,0,0
55,903.76,Smith and Sons,7299,Mcconnellport,Android,24.91,0,1,3,3,0,0
56,262.24,Velasquez-Barrett,5968,North John,iOS,13.76,0,2,11,1,0,0
57,321.13,"Fields, Hanson and Willis",5411,Benjaminport,iOS,9.06,0,4,5,11,0,0
58,104.17,"Johnson, Martinez and Lewis",5942,Wilsonberg,POS,4.68,0,5,7,9,0,0
59,287.11,Bean-Huff,5968,South Jimmy,Web,22.31,0,0,7,1,0,0
60,548.4,"Blake, Brown and Lopez",5812,North Josephside,Web,3.84,0,5,0,6,0,0
61,110.54,"Wood, Rojas and Jones",5411,Staciemouth,Web,15.64,0,6,18,2,0,0
62,383.73,Duarte LLC,7299,Walkerfort,Android,37.23,0,5,10,1,0,0
63,548.41,Rosales-Peterson,7299,East Briannatown,iOS,34.42,0,2,12,1,0,0
64,715.56,Miller-Moore,7299,Jeffreyfort,iOS,35.62,0,3,8,12,0,0
65,968.95,Williamson PLC,7299,Howardland,iOS,4.83,0,3,23,10,0,0
66,670.23,Escobar LLC,5942,New Abigailport,iOS,30.43,0,5,14,2,0,0
67,949.45,"Fox, Santiago and Gallagher",5261,North Michelle,Android,59.49,0,4,11,3,0,0
68,969.87,"Garcia, Bennett and Bentley",7299,Beltranborough,Web,15.67,0,5,3,6,0,0
69,157.64,Ellis-Shelton,7299,South Jordan,Web,19.5,0,6,0,12,0,0
70,92.78,"Stevenson, Kim and Cole",5261,East Ashleyburgh,Web,43.99,0,3,10,8,0,0
71,589.98,"Cobb, Mckinney and Lewis",5261,Lake Lindaville,POS,36.25,0,0,11,2,0,0
72,157.55,"Welch, Krause and Cortez",7299,Russellbury,Web,39.03,0,0,6,9,0,0
73,401.78,Howard PLC,7299,Danielsshire,POS,31.1,0,3,22,1,0,0
74,96.48,Rogers-Avila,7299,West Melissa,Web,5.48,0,5,9,6,0,0
75,717.81,Turner Ltd,5968,Lorifurt,POS,2.48,0,2,11,4,0,0
76,810.89,Lewis Inc,5261,East Sallyshire,iOS,2.59,0,3,15,8,0,0
77,669.67,Greer-Smith,5942,Brookeborough,Web,18.59,0,1,17,1,0,0
78,524.27,Bradley Group,5968,Port Aprilton,Web,14.36,0,3,19,3,0,0
79,113.17,Williamson PLC,7299,Lake Daniel,iOS,28.82,0,6,18,4,0,0
80,833.06,Thomas-Knight,5261,Ryanborough,Android,14.43,0,5,18,5,0,0
81,261.2,Higgins LLC,7299,Pearsonberg,POS,52.81,0,1,23,9,0,0
82,24.7,Watson-Sloan,5812,East Pamela,Android,0.93,0,3,3,12,0,0
83,678.97,Spencer-Walker,5411,Lake Richard,Android,1.34,0,5,4,1,0,0
84,818.7,"Coleman, Powers and Hawkins",5411,Warrenland,Android,36.93,0,5,5,3,0,0
85,713.73,"Collins, Dickerson and Morgan",5261,South Maryfort,Web,54.42,0,5,0,4,0,0
86,705.5,Porter-Wiley,5261,Madelinemouth,POS,43.57,0,4,21,12,0,0
87,535.79,Sanchez-Navarro,5411,West Nicole,Android,59.31,0,2,2,9,0,0
88,547.44,"Ewing, Cabrera and Kirk",5261,East Kimhaven,Web,30.63,0,2,21,10,0,0
89,83.23,Parker-Peters,5812,West Jamesburgh,Android,57.24,0,6,0,3,0,0
90,303.6,Cooper PLC,7299,Brianview,Web,24.86,0,2,14,5,0,0
91,167.9,Thompson LLC,5261,Port Robert,Web,16.7,0,1,3,1,0,0
92,576.02,"Mason, Reed and Ramos",7299,Georgehaven,iOS,55.84,0,6,12,3,0,0
93,846.56,"Sanchez, Galloway and Rodgers",7299,Snyderview,iOS,19.25,0,4,9,9,0,0
94,991.57,Sloan-Castro,5812,Lake Markberg,Android,19.44,0,5,2,11,0,0
95,654.6,"Robertson, Beard and Moses",5411,Hortonshire,iOS,19.7,0,2,6,3,0,0
96,318.58,Jordan-Good,5968,Robertview,Web,38.29,0,2,13,3,0,0
